geo_code1,geo_code2,all,from_home,light_rail,train,bus,taxi,motorbike,car_driver,car_passenger,bicycle,foot,other,length,pwalk_base,pcycle_base,pdrive_base
E02002432,E02002238,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,26758.149548,0,0,1
E02002417,E02002239,0.573936,0,0,0,0,0,0,0.573936,0,0,0,0,24018.723562,0,0,1
E02002417,E02002241,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,28330.937465,0,0,1
E02002432,E02002242,0.191312,0,0,0,0,0,0,0.191312,0,0,0,0,26265.655081,0,0,1
E02002417,E02002243,0.286968,0,0,0,0,0,0,0.286968,0,0,0,0,26744.901186,0,0,1
E02002417,E02002246,0.095656,0,0,0.095656,0,0,0,0,0,0,0,0,30556.64237,0,0,0
E02002432,E02002249,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,34090.788441,0,0,1
E02002432,E02002250,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,40494.754122,0,0,1
E02002417,E02002251,1.052216,0,0,0.286968,0,0,0,0.765248,0,0,0,0,33023.059143,0,0,0.727273
E02002432,E02002254,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,29537.721542,0,0,1
E02002417,E02002255,0.191312,0,0,0,0,0,0,0.191312,0,0,0,0,33979.703854,0,0,1
E02002417,E02002268,0.286968,0,0,0.095656,0,0,0,0.191312,0,0,0,0,32266.091444,0,0,0.666667
E02002417,E02002269,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,34193.808761,0,0,1
E02002417,E02002271,0.191312,0,0,0,0,0,0,0.191312,0,0,0,0,21719.192753,0,0,1
E02002417,E02002272,1.530497,0,0,0,0.095656,0,0,1.434841,0,0,0,0,19437.844668,0,0,0.9375
E02002432,E02002273,0.382624,0,0,0,0,0,0,0.382624,0,0,0,0,25196.879338,0,0,1
E02002432,E02002274,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,21605.716069,0,0,1
E02002417,E02002275,0.47828,0,0,0,0,0,0,0.47828,0,0,0,0,23632.931975,0,0,1
E02002417,E02002276,0.286968,0,0,0,0,0,0,0.286968,0,0,0,0,19297.435395,0,0,1
E02002432,E02002277,0.191312,0,0,0,0,0,0,0.191312,0,0,0,0,17347.091727,0,0,1
E02002417,E02002279,0.095656,0,0,0,0,0,0,0.095656,0,0,0,0,21846.760949,0,0,1
E02002417,E02002280,0.191312,0,0,0,0,0,0,0.191312,0,0,0,0,18788.815978,0,0,1
